StationID     DateTime          Value
   IYMAR 202405221130       0.0
   IYMAR 202405221140       0.0
   IYMAR 202405221150       0.0
   IYMAR 202405221200       0.0
   IYMAR 202405221210       0.0
   IYMAR 202405221220       0.0
   IYMAR 202405221230       0.0
   IYMAR 202405221240       0.0
   IYMAR 202405221250       0.0
   IYMAR 202405221300       0.0
   IYMAR 202405221310       0.0
   IYMAR 202405221320       0.0
   IYMAR 202405221330       0.0
   IYMAR 202405221340       0.0
   IYMAR 202405221350       0.0
   IYMAR 202405221400       0.0
   IYMAR 202405221410       0.0
   IYMAR 202405221420       0.0
   IYMAR 202405221430       0.0
   IYMAR 202405221440       0.2
   IYMAR 202405221450       0.4
   IYMAR 202405221500       0.2
   IYMAR 202405221510       0.2
   IYMAR 202405221520       0.0
   IYMAR 202405221530       0.4
   IYMAR 202405221540       0.4
   IYMAR 202405221550       0.6
   IYMAR 202405221600       0.2
   IYMAR 202405221610       0.4
   IYMAR 202405221620       0.2
   IYMAR 202405221630       0.0
   IYMAR 202405221640       0.2
   IYMAR 202405221650       0.2
   IYMAR 202405221700       0.2
   IYMAR 202405221710       0.0
   IYMAR 202405221720       0.0
   IYMAR 202405221730       0.0
   IYMAR 202405221740       0.0
   IYMAR 202405221750       0.0
   IYMAR 202405221800       0.0
   IYMAR 202405221810       0.0
   IYMAR 202405221820       0.0
   IYMAR 202405221830       0.0
   IYMAR 202405221840       0.0
   IYMAR 202405221850       0.0
   IYMAR 202405221900       0.0
   IYMAR 202405221910       0.0
   IYMAR 202405221920       0.0
   IYMAR 202405221930       0.0
   IYMAR 202405221940       0.0
   IYMAR 202405221950       0.0
   IYMAR 202405222000       0.0
   IYMAR 202405222010       0.0
   IYMAR 202405222020       0.0
   IYMAR 202405222030       0.0
   IYMAR 202405222040       0.0
   IYMAR 202405222050       0.0
   IYMAR 202405222100       0.0
   IYMAR 202405222110       0.0
   IYMAR 202405222120       0.0
   IYMAR 202405222130       0.0
   IYMAR 202405222140       0.0
   IYMAR 202405222150       0.0
   IYMAR 202405222200       0.0
   IYMAR 202405222210       0.0
   IYMAR 202405222220       0.0
   IYMAR 202405222230       0.0
   IYMAR 202405222240       0.0
   IYMAR 202405222250       0.0
   IYMAR 202405222300       0.0
   IYMAR 202405222310       0.0
   IYMAR 202405222320       0.0
   IYMAR 202405222330       0.0
   IYMAR 202405222340       0.0
   IYMAR 202405222350       0.0
   IYVAP 202405220000       0.0
   IYVAP 202405220010       0.0
   IYVAP 202405220020       0.2
   IYVAP 202405220030       0.0
   IYVAP 202405220040       0.0
   IYVAP 202405220050       0.0
   IYVAP 202405220100       0.0
   IYVAP 202405220110       0.0
   IYVAP 202405220120       0.0
   IYVAP 202405220130       0.0
   IYVAP 202405220140       0.0
   IYVAP 202405220150       0.0
   IYVAP 202405220200       0.0
   IYVAP 202405220210       0.0
   IYVAP 202405220220       0.0
   IYVAP 202405220230       0.0
   IYVAP 202405220240       0.0
   IYVAP 202405220250       0.0
   IYVAP 202405220300       0.0
   IYVAP 202405220310       0.0
   IYVAP 202405220320       0.0
   IYVAP 202405220330       0.0
   IYVAP 202405220340       0.0
   IYVAP 202405220350       0.0
   IYVAP 202405220400       0.0
   IYVAP 202405220410       0.0
   IYVAP 202405220420       0.0
   IYVAP 202405220430       0.0
   IYVAP 202405220440       0.0
   IYVAP 202405220450       0.0
   IYVAP 202405220500       0.0
   IYVAP 202405220510       0.0
   IYVAP 202405220520       0.0
   IYVAP 202405220530       0.0
   IYVAP 202405220540       0.0
   IYVAP 202405220550       0.0
   IYVAP 202405220600       0.0
   IYVAP 202405220610       0.0
   IYVAP 202405220620       0.0
   IYVAP 202405220630       0.0
   IYVAP 202405220640       0.0
   IYVAP 202405220650       0.0
   IYVAP 202405220700       0.0
   IYVAP 202405220710       0.0
   IYVAP 202405220720       0.0
   IYVAP 202405220730       0.0
   IYVAP 202405220740       0.0
   IYVAP 202405220750       0.0
   IYVAP 202405220800       0.0
   IYVAP 202405220810       0.0
   IYVAP 202405220820       0.0
   IYVAP 202405220830       0.0
   IYVAP 202405220840       0.0
   IYVAP 202405220850       0.0
   IYVAP 202405220900       0.0
   IYVAP 202405220910       0.0
   IYVAP 202405220920       0.0
   IYVAP 202405220930       0.0
   IYVAP 202405220940       0.0
   IYVAP 202405220950       0.0
   IYVAP 202405221000       0.0
   IYVAP 202405221010       0.0
   IYVAP 202405221020       0.0
   IYVAP 202405221030       0.0
   IYVAP 202405221040       0.0
   IYVAP 202405221050       0.0
   IYVAP 202405221100       0.0
   IYVAP 202405221110       0.0
   IYVAP 202405221120       0.0
   IYVAP 202405221130       0.0
   IYVAP 202405221140       0.0
   IYVAP 202405221150       0.0
   IYVAP 202405221200       0.0
   IYVAP 202405221210       0.0
   IYVAP 202405221220       0.0
   IYVAP 202405221230       0.0
   IYVAP 202405221240       0.0
   IYVAP 202405221250       0.0
   IYVAP 202405221300       0.0
   IYVAP 202405221310       0.0
   IYVAP 202405221320       0.0
   IYVAP 202405221330       0.0
   IYVAP 202405221340       0.0
   IYVAP 202405221350       0.0
   IYVAP 202405221400       0.0
   IYVAP 202405221410       0.0
   IYVAP 202405221420       0.0
   IYVAP 202405221430       0.0
   IYVAP 202405221440       0.6
   IYVAP 202405221450       0.6
   IYVAP 202405221500       0.8
   IYVAP 202405221510       1.2
   IYVAP 202405221520       1.4
   IYVAP 202405221530       0.8
   IYVAP 202405221540       0.2
   IYVAP 202405221550       0.2
   IYVAP 202405221600       0.2
   IYVAP 202405221610       0.0
   IYVAP 202405221620       0.2
   IYVAP 202405221630       0.0
   IYVAP 202405221640       0.0
   IYVAP 202405221650       0.2
   IYVAP 202405221700       0.2
   IYVAP 202405221710       0.0
   IYVAP 202405221720       0.0
   IYVAP 202405221730       0.0
   IYVAP 202405221740       0.2
   IYVAP 202405221750       0.2
   IYVAP 202405221800       0.0
   IYVAP 202405221810       0.0
   IYVAP 202405221820       0.0
   IYVAP 202405221830       0.0
   IYVAP 202405221840       0.0
   IYVAP 202405221850       0.0
   IYVAP 202405221900       0.0
   IYVAP 202405221910       0.0
   IYVAP 202405221920       0.0
   IYVAP 202405221930       0.0
   IYVAP 202405221940       0.0
   IYVAP 202405221950       0.0
   IYVAP 202405222000       0.0
   IYVAP 202405222010       0.0
   IYVAP 202405222020       0.0
   IYVAP 202405222030       0.0
   IYVAP 202405222040       0.0
   IYVAP 202405222050       0.0
   IYVAP 202405222100       0.0
   IYVAP 202405222110       0.0
   IYVAP 202405222120       0.0
   IYVAP 202405222130       0.0
   IYVAP 202405222140       0.0
   IYVAP 202405222150       0.0
   IYVAP 202405222200       0.0
   IYVAP 202405222210       0.0
   IYVAP 202405222220       0.0
   IYVAP 202405222230       0.0
   IYVAP 202405222240       0.0
   IYVAP 202405222250       0.0
   IYVAP 202405222300       0.0
   IYVAP 202405222310       0.0
   IYVAP 202405222320       0.0
   IYVAP 202405222330       0.0
   IYVAP 202405222340       0.0
   IYVAP 202405222350       0.0
   IYVEM 202405220000       0.0
   IYVEM 202405220010       0.0
   IYVEM 202405220020       0.0
   IYVEM 202405220030       0.0
   IYVEM 202405220040       0.0
   IYVEM 202405220050       0.0
   IYVEM 202405220100       0.0
   IYVEM 202405220110       0.0
   IYVEM 202405220120       0.0
   IYVEM 202405220130       0.0
   IYVEM 202405220140       0.0
   IYVEM 202405220150       0.0
   IYVEM 202405220200       0.0
   IYVEM 202405220210       0.0
   IYVEM 202405220220       0.0
   IYVEM 202405220230       0.0
   IYVEM 202405220240       0.0
   IYVEM 202405220250       0.0
   IYVEM 202405220300       0.0
   IYVEM 202405220310       0.0
   IYVEM 202405220320       0.0
   IYVEM 202405220330       0.0
   IYVEM 202405220340       0.0
   IYVEM 202405220350       0.0
   IYVEM 202405220400       0.0
   IYVEM 202405220410       0.0
   IYVEM 202405220420       0.0
   IYVEM 202405220430       0.0
   IYVEM 202405220440       0.0
   IYVEM 202405220450       0.0
   IYVEM 202405220500       0.0
   IYVEM 202405220510       0.0
   IYVEM 202405220520       0.0
   IYVEM 202405220530       0.0
   IYVEM 202405220540       0.0
   IYVEM 202405220550       0.0
   IYVEM 202405220600       0.0
   IYVEM 202405220610       0.0
   IYVEM 202405220620       0.0
   IYVEM 202405220630       0.0
   IYVEM 202405220640       0.0
   IYVEM 202405220650       0.0
   IYVEM 202405220700       0.0
   IYVEM 202405220710       0.0
   IYVEM 202405220720       0.0
   IYVEM 202405220730       0.0
   IYVEM 202405220740       0.0
   IYVEM 202405220750       0.0
   IYVEM 202405220800       0.0
   IYVEM 202405220810       0.0
   IYVEM 202405220820       0.0
   IYVEM 202405220830       0.0
   IYVEM 202405220840       0.0
   IYVEM 202405220850       0.0
   IYVEM 202405220900       0.0
   IYVEM 202405220910       0.0
   IYVEM 202405220920       0.0
   IYVEM 202405220930       0.0
   IYVEM 202405220940       0.0
   IYVEM 202405220950       0.0
   IYVEM 202405221000       0.0
   IYVEM 202405221010       0.0
   IYVEM 202405221020       0.0
   IYVEM 202405221030       0.0
   IYVEM 202405221040       0.0
   IYVEM 202405221050       0.0
   IYVEM 202405221100       0.0
   IYVEM 202405221110       0.0
   IYVEM 202405221120       0.0
   IYVEM 202405221130       0.0
   IYVEM 202405221140       0.0
   IYVEM 202405221150       0.0
   IYVEM 202405221200       0.0
   IYVEM 202405221210       0.0
   IYVEM 202405221220       0.0
   IYVEM 202405221230       0.0
   IYVEM 202405221240       0.0
   IYVEM 202405221250       0.0
   IYVEM 202405221300       0.0
   IYVEM 202405221310       0.0
   IYVEM 202405221320       0.0
   IYVEM 202405221330       0.0
   IYVEM 202405221340       0.0
   IYVEM 202405221350       0.0
   IYVEM 202405221400       0.0
   IYVEM 202405221410       0.0
   IYVEM 202405221420       0.0
   IYVEM 202405221430       0.2
   IYVEM 202405221440       0.2
   IYVEM 202405221450       2.2
   IYVEM 202405221500       1.6
   IYVEM 202405221510       0.4
   IYVEM 202405221520       0.0
   IYVEM 202405221530       1.2
   IYVEM 202405221540       0.6
   IYVEM 202405221550       0.2
   IYVEM 202405221600       0.4
   IYVEM 202405221610       0.4
   IYVEM 202405221620       0.0
   IYVEM 202405221630       0.0
   IYVEM 202405221640       0.0
   IYVEM 202405221650       0.0
   IYVEM 202405221700       0.0
   IYVEM 202405221710       0.0
   IYVEM 202405221720       0.2
   IYVEM 202405221730       0.0
   IYVEM 202405221740       0.0
   IYVEM 202405221750       0.0
   IYVEM 202405221800       0.0
   IYVEM 202405221810       0.0
   IYVEM 202405221820       0.0
   IYVEM 202405221830       0.0
   IYVEM 202405221840       0.0
   IYVEM 202405221850       0.0
   IYVEM 202405221900       0.0
   IYVEM 202405221910       0.0
   IYVEM 202405221920       0.0
   IYVEM 202405221930       0.0
   IYVEM 202405221940       0.0
   IYVEM 202405221950       0.0
   IYVEM 202405222000       0.0
   IYVEM 202405222010       0.0
   IYVEM 202405222020       0.0
   IYVEM 202405222030       0.0
   IYVEM 202405222040       0.0
   IYVEM 202405222050       0.0
   IYVEM 202405222100       0.0
   IYVEM 202405222110       0.0
   IYVEM 202405222120       0.0
   IYVEM 202405222130       0.0
   IYVEM 202405222140       0.0
   IYVEM 202405222150       0.0
   IYVEM 202405222200       0.0
   IYVEM 202405222210       0.0
   IYVEM 202405222220       0.0
   IYVEM 202405222230       0.0
   IYVEM 202405222240       0.0
   IYVEM 202405222250       0.0
   IYVEM 202405222300       0.0
   IYVEM 202405222310       0.0
   IYVEM 202405222320       0.0
   IYVEM 202405222330       0.0
   IYVEM 202405222340       0.0
   IYVEM 202405222350       0.0
     COL 202405220000       0.0
     COL 202405220010       0.0
     COL 202405220020       0.0
     COL 202405220030       0.0
     COL 202405220040       0.0
     COL 202405220050       0.0
     COL 202405220100       0.0
     COL 202405220110       0.0
     COL 202405220120       0.0
     COL 202405220130       0.0
     COL 202405220140       0.0
